Julian Date,Snow Depth (m),Air Temp (°C),Ground temp (°C),Wind velocity (m/s),hflux1_W_m2,hflux2_W_m2
282,0,0.36908,0.20993,0.79725,6.9576,6.75059
282.042,0,-0.0595703,0.147827,0.532875,9.31248,9.52303
282.083,0,-0.578003,0.114471,0.20475,10.0974,9.52303
282.125,0,-1.22348,0.0858765,0.04425,11.9528,10.0862
282.167,0,-1.68881,0.205139,0.02625,7.3144,6.70635
282.208,0,-1.7254,0.296295,0.086625,6.13696,5.18688
282.25,0,-1.82162,0.325104,0.189375,5.03088,4.51313
282.292,0,-1.858,0.354065,0.2385,4.6384,4.16922
282.333,0,-1.79846,0.382965,0.210375,4.6384,3.67547
282.375,0,-1.3595,0.445862,0.192,5.03088,2.58942
282.417,0,-0.969208,0.538116,0.219375,6.20832,4.36129
282.458,0,-0.532104,0.567352,0.261,6.9576,5.59616
282.5,0.023,-0.315155,0.567352,0.309,6.9576,5.8546
282.542,0.017,0.239868,0.567352,0.38925,6.9576,6.04969
282.583,0.016,0.701538,0.567352,0.466875,6.9576,6.13718
282.625,0.016,0.380188,0.538116,0.513375,7.35008,6.16533
282.667,0.017,-0.34729,0.508942,0.7245,6.9576,6.03461
282.708,0.009,-0.70459,0.538116,1.2495,6.9576,5.94913
282.75,0.032,-0.962311,0.504089,1.80825,7.38576,5.91594
282.792,0.032,-1.44067,0.567352,1.9275,7.3144,5.88377
282.833,0.022,-2.2309,0.567352,1.4475,6.9576,5.8727
282.875,0.024,-3.25595,0.596619,0.83625,6.9576,5.88377
282.917,0.037,-4.12653,0.596619,0.71025,7.35008,5.89483
282.958,0.038,-4.44662,0.596619,0.914625,6.56512,5.87371
283,0.04,-3.97922,0.596619,0.914625,6.9576,5.88276
283.042,0.035,-3.22522,0.625946,0.7395,6.9576,5.86365
283.083,0.046,-2.78961,0.596619,0.6435,6.9576,5.85159
283.125,0.052,-2.60626,0.596619,0.62925,6.9576,5.85058
283.167,0.047,-2.47873,0.625946,0.661875,7.35008,5.8184
283.208,0.043,-2.40182,0.596619,0.7245,7.35008,5.8184
283.25,0.039,-2.46591,0.625946,0.692625,6.9576,5.84052
283.292,0.035,-2.46591,0.596619,0.499125,6.9576,5.81941
283.333,0.031,-2.55215,0.625946,0.314625,6.9576,5.81941
283.375,0.022,-1.86459,0.684662,0.25875,6.9576,5.87471
283.417,0.008,0.0567322,0.684662,0.213,6.9576,5.91997
283.458,0.009,1.20914,0.567352,0.12,7.38576,6.10198
283.5,0.022,1.0397,0.508942,0.066,7.3144,6.06779
283.542,0.027,0.993805,0.596619,0.093375,6.9576,5.97025
283.583,0.013,2.07861,0.596619,0.176625,6.9576,6.07081
283.625,0.029,1.82568,0.567352,0.237,7.35008,6.07986
283.667,0.027,1.50128,0.479797,0.214125,7.74256,6.02354
283.708,0.021,0.671417,0.474976,0.177,6.9576,5.926
283.75,0.021,0.0786438,0.508942,0.236625,7.35008,5.86064
283.792,0.021,-0.503784,0.508942,0.573,6.9576,5.78522
283.833,0.02,-0.750122,0.538116,1.38188,6.9576,5.6746
283.875,0.017,-0.676544,0.538116,2.3985,6.9576,5.55594
283.917,0.02,-0.851288,0.596619,3.05475,6.9576,5.50164
283.958,0.017,-1.07611,0.596619,3.069,6.9576,5.49058
284,0.017,-0.927704,0.596619,2.42138,6.9576,5.43728
284.042,0.013,-1.19614,0.625946,1.43138,7.35008,5.42622
284.083,0.014,-1.48785,0.596619,0.6885,7.35008,5.4051
284.125,0.01,-1.46762,0.625946,0.379875,7.35008,5.38197
284.167,0.01,-1.6521,0.625946,0.259875,6.56512,5.35985
284.208,0.006,-1.4845,0.625946,0.168,5.42336,5.29549
284.25,0.006,-1.44739,0.625946,0.09525,5.74448,5.29549
284.292,0.006,-1.37643,0.596619,0.04275,5.03088,5.31862
284.333,0.006,-1.53159,0.655243,0.018,5.06656,5.34879
284.375,0.006,-0.407898,0.718994,0.043125,4.9952,5.40711
284.417,0.006,0.343201,0.807617,0.114375,4.6384,5.44834
284.458,0.006,0.532745,0.812531,0.178125,4.6384,5.4946
284.5,0.006,0.648895,0.842163,0.214875,4.67408,5.61225
284.542,0.006,1.46988,0.931366,0.26025,5.38768,5.746
284.583,0.014,2.16364,0.931366,0.301125,6.63648,6.15226
284.625,0.013,1.92569,0.689575,0.336375,9.66928,6.20857
284.667,0.016,1.34488,0.596619,0.4485,8.84864,6.02153
284.708,0.014,0.506592,0.596619,0.696,7.35008,5.75907
284.75,0.012,-0.358002,0.567352,1.038,6.9576,5.58812
284.792,0.011,-0.697601,0.596619,1.29975,6.9576,5.52276
284.833,0.014,-0.816498,0.567352,1.33875,6.9576,5.4584
284.875,0.017,-0.753632,0.596619,1.26825,6.9576,5.42622
284.917,0.014,-0.771118,0.625946,1.24988,6.9576,5.41616
284.958,0.014,-0.847809,0.625946,1.29075,6.9576,5.40409
285,0.014,-1.00723,0.625946,1.3065,6.9576,5.36085
285.042,0.015,-1.13794,0.625946,1.2465,6.9576,5.33873
285.083,0.012,-1.31876,0.625946,1.22962,6.9576,5.29549
285.125,0.016,-1.51477,0.625946,1.30387,6.9576,5.29549
285.167,0.017,-1.51477,0.596619,1.31362,6.9576,5.2623
285.208,0.018,-1.5484,0.625946,1.2675,6.9576,5.23013
285.25,0.017,-1.85468,0.596619,1.28475,7.35008,5.18588
285.292,0.018,-2.28586,0.596619,1.25063,6.92192,5.09739
285.333,0.016,-2.49475,0.625946,1.04775,4.6384,5.02398
285.375,0.015,-2.20822,0.718994,0.880875,5.03088,5.02498
285.417,0.016,-1.6254,0.714081,0.95625,4.67408,5.13258
285.458,0.016,-2.09436,0.567352,1.14562,5.38768,5.13057
285.5,0.015,-1.62872,0.382965,1.2195,5.03088,8.78894
285.542,0.018,-0.996887,0.416809,1.07512,4.6384,9.82471
285.583,0.015,0.936554,0.689575,0.750375,4.6384,2.08561
285.625,0.017,1.42294,0.748474,0.4275,6.6008,1.44706
285.667,0.018,1.26718,0.689575,0.24825,6.9576,4.49805
285.708,0.019,0.177399,0.596619,0.161625,6.9576,5.07828
285.75,0.019,-1.25412,0.567352,0.099375,6.9576,5.00889
285.792,0.02,-2.32138,0.474976,0.068625,6.9576,4.86811
285.833,0.019,-2.72656,0.474976,0.063,6.9576,6.95573
285.875,0.019,-2.28586,0.416809,0.06975,6.99328,8.02469
285.917,0.018,-2.66965,0.382965,0.099,7.3144,8.86939
285.958,0.022,-2.83047,0.262665,0.18,6.9576,9.06046
286,0.022,-2.66965,0.262665,0.319875,6.92192,9.16102
286.042,0.022,-2.45312,0.291473,0.478875,6.6008,8.22581
286.083,0.022,-2.26324,0.262665,0.592875,6.9576,7.04926
286.125,0.022,-2.19522,0.262665,0.562125,6.9576,7.03719
286.167,0.021,-2.26971,0.233887,0.388125,6.9576,7.42133
286.208,0.021,-2.23737,0.262665,0.238875,6.9576,7.24032
286.25,0.014,-2.16272,0.262665,0.170625,6.9576,6.78679
286.292,0.019,-2.60626,0.233887,0.097875,6.9576,6.81495
286.333,0.016,-2.91196,0.296295,0.027,6.56512,6.01852
286.375,0.023,-2.90573,0.354065,0.00525,6.13696,4.95157
286.417,0.014,-2.7865,0.382965,0.0195,4.6384,3.79312
286.458,0.051,-2.47556,0.382965,0.068625,4.21024,2.60551
286.5,0.07,-2.12369,0.411957,0.159,2.74736,1.64918
286.542,0.067,-2.2309,0.445862,0.2175,4.6384,1.38471
286.583,0.082,-2.22113,0.445862,0.183,5.45904,1.34952
286.625,0.065,-1.9798,0.411957,0.118875,5.74448,1.1846
286.667,0.088,-2.04861,0.416809,0.09075,6.17264,1.27208
286.708,0.081,-2.29556,0.382965,0.085875,6.6008,1.94483
286.75,0.084,-2.64114,0.411957,0.079875,6.56512,2.84585
286.792,0.099,-2.68866,0.411957,0.0675,6.9576,3.66139
286.833,0.101,-2.51068,0.411957,0.048,6.56512,4.13402
286.875,0.101,-2.37292,0.445862,0.02475,6.9576,4.31704
286.917,0.107,-1.5752,0.382965,0.013875,6.9576,4.43671
286.958,0.095,-0.404358,0.387817,0.01725,6.56512,4.52218
287,0.077,-0.0812988,0.325104,0.017625,6.52944,4.47492
287.042,0.059,-0.0740356,0.325104,0.044625,4.21024,4.14408
287.083,0.069,0.137115,0.325104,0.219375,2.74736,3.92687
287.125,0.065,1.13193,0.296295,0.6105,4.24592,4.20944
287.167,0.05,2.12311,0.329956,1.0695,5.03088,4.33816
287.208,0.054,2.08264,0.325104,1.40325,4.6384,4.40252
287.25,0.05,1.14349,0.354065,1.61925,4.6384,4.32509
287.292,0.034,0.0130615,0.354065,1.88925,4.24592,4.29291
287.333,0.045,-0.0776672,0.358856,2.28375,4.6384,4.40453
287.375,0.042,-0.048645,0.325104,2.64525,4.6384,4.49101
287.417,0.013,-0.0740356,0.354065,2.84588,4.6384,4.57649
287.458,0.002,-0.026886,0.325104,2.89088,4.6384,4.62174
287.5,0.002,0.148102,0.325104,2.811,4.6384,4.71828
287.542,0.061,0.332062,0.329956,2.70225,4.6384,4.70721
287.583,0.066,0.667664,0.325104,2.625,5.06656,4.73034
287.625,0.069,1.08197,0.296295,2.52,5.38768,4.76152
287.667,0.056,0.302521,0.296295,2.38313,4.6384,4.71727
287.708,0.054,-0.066803,0.267426,2.298,4.6384,4.70721
287.75,0.054,-0.221924,0.267426,2.32162,5.42336,4.69615
287.792,0.056,-0.457672,0.296295,2.3805,5.03088,4.69615
287.833,0.06,-0.676544,0.296295,2.32875,5.03088,4.70721
287.875,0.061,-0.732635,0.296295,2.23425,5.81584,4.67302
287.917,0.051,-0.673065,0.267426,2.1585,5.03088,4.68509
287.958,0.046,-0.792023,0.325104,1.90725,5.03088,4.66498
288,0.058,-0.910339,0.325104,1.53,4.6384,4.65291
288.042,0.062,-1.38995,0.354065,1.32563,5.03088,4.66297
288.083,0.062,-1.5752,0.325104,1.36913,5.03088,4.64185
288.125,0.061,-1.815,0.325104,1.57725,5.42336,4.64185
288.167,0.058,-1.93381,0.325104,1.80113,5.03088,4.64185
288.208,0.029,-1.90417,0.325104,1.82025,4.67408,4.60967
288.25,0.039,-1.85141,0.354065,1.5645,6.17264,4.60866
288.292,0.05,-2.65701,0.354065,1.15313,6.56512,4.57649
288.333,0.045,-3.03973,0.354065,0.696,5.81584,4.57649
288.375,0.044,-2.52347,0.354065,0.295125,6.56512,4.57649
